id3 tags from site:https://docs.mp3tag.de/

Internal,	   ACOUSTID_ID,
ID3v2.3,	   TXXX:Acoustid Id
ID3v2.4,	   TXXX:Acoustid Id
MP4,	           ----:com.apple.iTunes:Acoustid Id,
Matroska,	   "",
ASF/Windows Media, "",	
RIFF INFO,	   "",
ACOUSTID_FINGERPRINT,  "", 
Internal,	   ACOUSTID_FINGERPRINT,
ID3v2.3,  	   TXXX:Acoustid Fingerprint
ID3v2.4,	   TXXX:Acoustid Fingerprint
MP4,	           ----:com.apple.iTunes:Acoustid Fingerprint
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,	   "",
ALBUM,             "",
Internal,	   ALBUM,
ID3v2.3,	   TALB,
ID3v2.4,	   TALB,
MP4,	           ©alb,
Matroska,	   T=50 TITLE,
ASF/Windows Media, WM/AlbumTitle,
RIFF INFO, 	   IPRD,
ALBUMSORT ,        "",
Internal,	   ALBUMSORT,
ID3v2.3,	   TSOA,
ID3v2.4,	   TSOA,
MP4,	           soal,
Matroska,	   T=50 SORT_WITH,
ASF/Windows Media, WM/AlbumSortOrder,
RIFF INFO,	   "",
ALBUMARTIST,       "", 
Internal,	   ALBUMARTIST,
ID3v2.3,	   TPE2,
ID3v2.4,	   TPE2,
MP4,	           aART,
Matroska,	   T=50 ARTIST,
ASF/Windows Media, WM/AlbumArtist,
RIFF INFO,	   "",
ALBUMARTISTSORT,   "",
Internal,	   ALBUMARTISTSORT,
ID3v2.3,	   TSO2,
ID3v2.4,	   TSO2,
MP4,	           soaa,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
ARTIST,            "", 
Internal,	   ARTIST,
ID3v2.3,	   TPE1,
ID3v2.4,	   TPE1,
MP4,	           ©art,
Matroska,	   T=30 ARTIST,
ASF/Windows Media, Author,
RIFF INFO,	   IART,
ARTISTSORT,        "", 
Internal,	   ARTISTSORT,
ID3v2.3,	   TSOP,
ID3v2.4,	   TSOP,
MP4,	           soar,
Matroska,	   T=30,
ASF/Windows Media, WM/ArtistSortOrder,
RIFF INFO,         "",	
BARCODE,           "", 
Internal,	   BARCODE,
ID3v2.3,	   TXXX:BARCODE,
ID3v2.4,	   TXXX:BARCODE,
MP4,	           ----:com.apple.iTunes:BARCODE,
Matroska,	   T=30,
ASF/Windows Media, WM/Barcode,
RIFF INFO,         "",	
Notes,	           Field is used when importing via MusicBrainz (since Mp3tag v3.13).,
BPM,               "", 
Internal,	   BPM,
ID3v2.3,	   TBPM,
ID3v2.4,	   TBPM,
MP4,	           tmpo,
Matroska,	   T=30,
ASF/Windows Media, WM/BeatsPerMinute,
RIFF INFO,         "",	
CATALOGNUMBER,     "", 
Internal,	   CATALOGNUMBER,
ID3v2.3,	   TXXX:CATALOGNUMBER,
ID3v2.4,	   TXXX:CATALOGNUMBER,
MP4,	           ----:com.apple.iTunes:CATALOGNUMBER,
Matroska,	   T=30,
ASF/Windows Media, WM/CatalogNo,
RIFF INFO,         "",	
Notes,	           Field is used when importing via Discogs and MusicBrainz (since Mp3tag v3.13).,
COMMENT,           "", 
Internal,	   COMMENT,
ID3v2.3,	   COMM,
ID3v2.4,	   COMM,
MP4,	           ©cmt,
Matroska,	   T=30,
ASF/Windows Media, Description,
RIFF INFO,	   ICMT,
COMPILATION,       "", 
Internal,	   COMPILATION,
ID3v2.3,	   TCMP,
ID3v2.4,	   TCMP,
MP4,	           cpil,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
Notes,	           Field that is used by iTunes to mark albums as compilation. Either enter the value 1 or delete the field.,
COMPOSER,          "", 
Internal,	   COMPOSER,
ID3v2.3,	   TCOM,
ID3v2.4,	   TCOM,
MP4,	           ©wrt,
Matroska,	   T=30,
ASF/Windows Media, WM/Composer,
RIFF INFO,         "",	
COMPOSERSORT,      "", 
Internal,	   COMPOSERSORT,
ID3v2.3,	   TSOC,
ID3v2.4,	   TSOC,
MP4,	           soco,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
CONDUCTOR,         "", 
Internal 	   CONDUCTOR,
ID3v2.3,	   TPE3,
ID3v2.4,	   TPE3,
MP4,	           ©con,
Matroska,	   T=30,
ASF/Windows Media, WM/Conductor,
RIFF INFO,         "",	
CONTENTGROUP,      "", 
Internal,	   CONTENTGROUP,
ID3v2.3,	   TIT1,
ID3v2.4 	   TIT1,
MP4,	           ©grp,
Matroska,	   T=30,
ASF/Windows Media, WM/ContentGroupDescription,
RIFF INFO,         "",	
COPYRIGHT,         "", 
Internal,	   COPYRIGHT,
ID3v2.3,	   TCOP,
ID3v2.4,	   TCOP,
MP4,	           cprt,
Matroska,	   T=30,
ASF/Windows Media, Copyright,
RIFF INFO,	   ICOP,
DATE,              "", 
Internal,	   DATE,
ID3v2.3,	   TDAT,
ID3v2.4,	   TXXX:DATE,
MP4,               "",	
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
DESCRIPTION.       "", 
Internal,  	   DESCRIPTION,
ID3v2.3,           "",	
ID3v2.4,           "",	
MP4,	           desc,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
DISCNUMBER,        "", 
Internal,	   DISCNUMBER,
ID3v2.3, 	   TPOS,
ID3v2.4,	   TPOS,
MP4,	           disk,
Matroska,	   T=50 PART_NUMBER,
ASF/Windows Media, WM/PartOfSet,
RIFF INFO,         "",	
ENCODEDBY,         "", 
